family,n_held_out_events,recall_unseen,recall_seen_families,fpr,generalisation_gap
VY-UPI-008,62,0.9516,0.6168,0.001,-0.3348
VY-IDENT-001,29,0.7931,0.5839,0.001,-0.2092
VY-SOC-002,3,0.6667,0.6542,0.001,-0.0125
VY-LAUND-002,29,0.4828,0.644,0.001,0.1612
VY-UPI-007,94,0.4043,0.6928,0.001,0.2885
VY-LAUND-001,173,0.237,0.7002,0.001,0.4632
VY-CARD-003,46,0.1522,0.3799,0.001,0.2277
VY-UPI-002,147,0.1497,0.6503,0.001,0.5006
VY-SOC-001,60,0.1167,0.5671,0.001,0.4504
VY-SOC-008,65,0.0923,0.6632,0.001,0.5709
VY-AGENT-001,48,0.0625,0.6035,0.001,0.541
VY-SOC-003,56,0.0357,0.5718,0.001,0.5361
VY-UPI-005,163,0.0061,0.792,0.001,0.7859
VY-CARD-002,26,0.0,0.4936,0.001,0.4936
VY-CARD-001,569,0.0,0.2332,0.001,0.2332
VY-AGENT-003,44,0.0,0.6178,0.001,0.6178
VY-CARD-004,23,0.0,0.6419,0.001,0.6419
VY-CARD-009,55,0.0,0.5927,0.001,0.5927
VY-SOC-004,86,0.0,0.6587,0.001,0.6587
VY-UPI-001,15,0.0,0.6541,0.001,0.6541
VY-UPI-003,101,0.0,0.6927,0.001,0.6927
